"Draw","State","Artist","Song","English translation","Place","Points"
"01","Mecklenburg-Vorpommern","Jennifer Rostock","%INLINEQ%Ich kann nicht mehr%INLINEQ%","I can't go on any longer","8","66"
"02","Saxony-Anhalt","Flimmerfrühstück (de)","%INLINEQ%Tu's nicht ohne Liebe%INLINEQ%","Don't do it without love","13","12"
"03","Schleswig-Holstein","Muttersöhnchen","%INLINEQ%Essen geh'n%INLINEQ%","Eating out","16","8"
"04","Brandenburg","Doreen (de)","%INLINEQ%Wie konntest du nur?%INLINEQ%","How could you dare","13","12"
"05","Baden-Württemberg","Glasperlenspiel","%INLINEQ%Echt (de)%INLINEQ%","Real","4","91"
"06","Saarland","Pierre Ferdinand et les Charmeurs","%INLINEQ%Ganz Paris ist eine Disco%INLINEQ%","Whole of Paris is a disco","11","17"
"07","Bavaria","Andreas Bourani","%INLINEQ%Eisberg%INLINEQ%","Iceberg","10","26"
"08","Saxony","Kraftklub","%INLINEQ%Ich will nicht nach Berlin%INLINEQ%","I don't want to go to Berlin","5","89"
"09","Thuringia","Alin Coen Band (de)","%INLINEQ%Ich war hier%INLINEQ%","I was here","12","13"
"10","Lower Saxony","Bosse & Anna Loos","%INLINEQ%Frankfurt/Oder%INLINEQ%","—","3","102"
"11","Hesse","Juli","%INLINEQ%Du lügst so schön%INLINEQ%","You lie so beautifully","13","12"
"12","Hamburg","Thees Uhlmann","%INLINEQ%Zum Laichen und Sterben ziehen die Lachse den Fluss hinauf%INLINEQ%","The salmons go up the river for spawning and dying","8","66"
"13","Rhineland-Palatinate","Jupiter Jones (de)","%INLINEQ%ImmerfürImmer%INLINEQ%","AlwaysForEver","6","86"
"14","Bremen","Flo Mega (de)","%INLINEQ%Zurück%INLINEQ%","Back","2","111"
"15","Berlin","Tim Bendzko","%INLINEQ%Wenn Worte meine Sprache wären%INLINEQ%","If words were my language","1","141"
"16","North Rhine-Westphalia","Frida Gold (de)","%INLINEQ%Unsere Liebe ist aus Gold (de)%INLINEQ%","Our love is made of gold","7","76"
