"#","Date","Venue","Opponent","Result","Scored","Competition"
"1","19 November 2008","Macau UST Stadium, Macau","Macau","9–1","0","Friendly"
"2","23 August 2009","World Games Stadium, Kaohsiung, Taiwan","Chinese Taipei","4–0","0","2010 EAFF Championship Semi-finals"
"3","27 August 2009","World Games Stadium, Kaohsiung, Taiwan","Guam","12–0","1","2010 EAFF Championship Semi-finals"
"4","18 November 2009","Hong Kong Stadium, Hong Kong","Japan","0–4","0","2011 AFC Asian Cup qualification"
"5","11 February 2010","Olympic Stadium, Tokyo, Japan","Japan","0–3","0","2010 East Asian Football Championship"
"6","14 February 2010","Olympic Stadium, Tokyo, Japan","China PR","0–2","0","2010 East Asian Football Championship"
"7","3 March 2010","Hong Kong Stadium, Hong Kong","Yemen","0–0","0","2011 AFC Asian Cup qualification"
"8","9 February 2011","Shah Alam Stadium, Kuala Lumpur","Malaysia","0–2","0","Friendly"
"9","3 June 2011","Siu Sai Wan Sports Ground, Hong Kong","Malaysia","1–1","0","Friendly"
"10","28 July 2011","Siu Sai Wan Sports Ground, Hong Kong","Saudi Arabia","0–5","0","2014 FIFA World Cup qualification"
"11","30 September 2011","Kaohsiung National Stadium, Kaohsiung, Taiwan","Philippines","3–3","0","2011 Long Teng Cup"
"12","2 October 2011","Kaohsiung National Stadium, Kaohsiung, Taiwan","Macau","5–1","2","2011 Long Teng Cup"
"13","4 October 2011","Kaohsiung National Stadium, Kaohsiung, Taiwan","Chinese Taipei","6–0","0","2011 Long Teng Cup"
