"Rank","Athlete","Nationality","No. 1","No. 2","No. 3","No. 4","No. 5","No. 6","Result","Notes"
"","Valerie Adams","New Zealand (NZL)","20.41","20.46","20.88","x","20.76","20.32","20.88",""
"","Christina Schwanitz","Germany (GER)","19.22","19.72","19.61","19.42","19.74","20.41","20.41","PB"
"","Gong Lijiao","China (CHN)","19.16","19.95","19.74","x","19.37","19.77","19.95",""
"4","Michelle Carter","United States (USA)","19.92","19.94","19.35","x","19.67","19.57","19.94",""
"5","Yevgeniya Kolodko","Russia (RUS)","18.97","19.49","19.40","19.81","x","x","19.81",""
"6","Li Ling","China (CHN)","18.30","17.97","18.18","17.68","18.39","18.32","18.39",""
"7","Irina Tarasova","Russia (RUS)","18.06","17.82","18.08","18.31","x","18.37","18.37",""
"8","Tia Brooks","United States (USA)","18.09","x","17.94","17.73","x","17.49","18.09",""
"9","Galyna Obleshchuk","Ukraine (UKR)","16.84","18.08","17.92","","","","18.08",""
"10","Liu Xiangrong","China (CHN)","x","18.04","17.92","","","","18.04",""
"11","Natalia Ducó","Chile (CHI)","18.58","x","18.02","","","","18.02",""
"12","Alena Kopets","Belarus (BLR)","x","17.24","17.70","","","","17.70",""
