"Date (All 1974)","Distance (yards)","Venue","Trap","Win distance (lengths)","Starting Price","Time","Race"
"Jan 7","525","Wembley","4","sh","4-1","29.77","Abbey Cup"
"Jan 18","700","Wembley","4","8 ½","4-7","40.58","Stadium Bookmakers Stakes"
"Jan 22","650","Romford","1","4 ½","4-9","36.62","Havering 600"
"Jan 31","725","White City","5","9","1-3","40.92","Longcross Cup heats"
"Feb 2","725","White City","6","6","4-11","41.03","Longcross Cup final"
"Feb 11","700","Wembley","1","10","8-13","41.27","Ivanhoe Stayers Cup"
"Feb 15","725","Harringay","5","7","1-4","41.46","February 725"
"Feb 23","800","White City","5","9 ¼","2-9","45.38","GRA Stakes heats"
"Mar 2","800","White City","4","9 ¼","1-5","44.93","GRA Stakes semis"
"Mar 9","800","White City","4","1 ¾","1-5","44.73","GRA Stakes final"
"Apr 8","700","Wembley","4","½","4-11","39.90","Stadium Bookmakers Stakes"
"Apr 23","550","Perry Barr","5","1","1-2","31.06","Bookmakers Stakes"
"Apr 27","725","Brough Park","5","4 ½","1-3","40.94 TR","Ladbroke 725"
"May 3","700","Wembley","4","7","4-11","39.86","Tyneside Stayers Stakes"
"May 7","700","Walthamstow","4","6","4-9","39.87","Grand Prix Trial Stakes"
"Sep 10","725","White City","6","7","2-9","40.29","Grantham Stakes"
"Sep 16","700","Wembley","3","9","1-10","39.96","Denver Stayers Cup"
"Oct 14","700","Wembley","5","13","1-4","39.68","Elite Stayers Cup"
"Oct 21","700","Wembley","5","16","1-10","39.71","National Inter Track"
"Oct 28","700","Wembley","5","5","1-14","39.66","Mick the Miller Record Stakes"
