"Position","Name","Affiliation","Total","Percentage"
"1","Eileene PARSONS","IND","1,675","8.59%"
"2","Conrad MADURO","UP","1,618","8.30%"
"3","Reeial GEORGE","VIP","1,595","8.18%"
"4","Alred FRETT","VIP","1,478","7.58%"
"5","Neil BLYDEN","VIP","1,435","7.36%"
"6","Paul WATTLEY","IND","1,314","6.74%"
"7","Earl P. FRASER","VIP","1,302","6.68%"
"8","Meritt HERBERT","UP","941","4.83%"
"9","Inez TURNBULL","IND","922","4.73%"
"10","Hubert O'NEAL","CCM","900","4.62%"
"11","Belsadys DONOVAN","IND","852","4.37%"
"12","Elihu RHYMER","CCM","793","4.07%"
"13","Carl DAWSON","CCM","792","4.06%"
"14","Medita WHEATLEY","IND","470","2.41%"
"15","Patsy LAKE","IND","439","2.25%"
"16","Fletcher SCATLIFFE","IND","439","2.25%"
"17","Ulric SCATLIFFE","UP","388","1.99%"
"18","Aubrey LEVONS","IND","384","1.97%"
"19","Edmund MADURO","UP","345","1.77%"
"20","Edison O'NEAL","IND","341","1.75%"
"21","Keith GEORGE","IND","339","1.74%"
"22","Willard WHEATLEY","IND","265","1.36%"
"23","Stanford CONNOR","IND","147","0.75%"
"24","Walter deCASTRO","IND","94","0.48%"
