"Year","Winner","Age","Jockey","Trainer","Owner","Dist. (Miles)","Time","Win$"
"1909","Bonnie Kelso","3","Jack Upton","George Odom","George Odom","12 F","2:32.40","$1,050"
"1908","Bedouin","6","Dalton McCarthy","John Huggins","E. W. Jewett","12 F","2:37.60","$1,050"
"1907","Miss Crawford","6","Eddie Dugan","J. Davis","William W. Darden","12 F","2:33.00","$3,250"
"1906","Outcome","5","Walter Miller","French Brooks","Woodford Clay","12 F","2:35.60","$3,165"
"1905","Jacquin","4","Frank O'Neill","H. C. McLaughlin","Lucien O. Appleby","12 F","2:37.00","$3,550"
"1904","Shorthose","4","George Odom","W. Fred Presgrave","Goughacres Stable","12 F","2:34.20","$3,300"
"1903","Caughnawaga","4","Tommy Burns","William Hayward Jr.","John Sanford","12 F","2:35.00","$2,300"
"1902","The Rival","3","Harry Michaels","John E. Madden","John E. Madden","12 F","2:33.80","$2,370"
"1901","Water Cure","4","Winfield O'Connor","Green B. Morris","Green B. Morris","12 F","2:38.20","$1,680"
"1900","Maid of Harlem","4","John Slack","","Osceola Stable (Thomas L. Watt)","12 F","2:35.00","$1,770"
"1899","Prince McClurg","3","Winfield O'Connor","James H. McEvoy","J. H. McEvoy & Co.","12 F","2:38.20","$1,450"
"1898","Thomas Cat","4","Tod Sloan","William P. Burch","William C. Eustis","12 F","2:35.60","$680"
"1897","Joe Miller","6","Tod Sloan","John R. Walker","Joseph E. Seagram","12 F","2:34.20","$1,150"
"1896","Deerslayer","4","Samuel Doggett","Walter C. Rollins","Walter C. Rollins","12 F","2:36.60","$1,150"
"1895","Bathampton","4","Fred Taral","Matthew Byrnes","Marcus Daly","12 F","2:35.00","$1,150"
