"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Ohio State","Woody Hayes","#1","#1","10–0","7–0","24.9","7.5","Howard Cassady"
"2 (tie)","Wisconsin","Ivy Williamson","#9","#2","7–2","5–2","22.2","10.9","Alan Ameche"
"2 (tie)","Michigan","Bennie Oosterbaan","#15","#11","6–3","5–2","15.4","9.7","Fred Baer"
"4","Minnesota","Murray Warmath","NR","#8","7–2","4–2","21.7","14.1","Bob McNamara"
"5","Iowa","Forest Evashevski","NR","#3","5–4","4–3","21.3","15.7","Warren Lawson"
"6","Purdue","Stu Holcomb","NR","#5","5–3–1","3–3","18.3","14.9","Tom Bettis"
"7","Indiana","Bernie Crimmins","NR","NR","3–6","2–4","12.2","15.9","Florian Helinski"
"8 (tie)","Michigan State","Duffy Daugherty","NR","#6","3–6","1–5","19.7","16.6","John Matsock"
"8 (tie)","Northwestern","Bob Voigts","NR","NR","2-7","1-5","11.2","15.8","Ziggie Niepokoj"
"10","Illinois","Ray Eliot","NR","#5","1–8","0–6","11.4","20.0","Jack Chamblin"
