"Unit","Level","Area (ha)","Created","State"
"Cachoeira da Fumaça e Jacuba Natural Park","Municipal","363","2009","Rio de Janeiro"
"Campos do Jordão Environmental Protection Area","State","28,800","1984","São Paulo"
"Campos do Jordão State Park","State","8,341","1941","São Paulo"
"Fernão Dias Environmental Protection Area","State","180,073","1997","Minas Gerais"
"Itatiaia National Park","Federal","30,000","1937","Rio de Janeiro Minas Gerais"
"Lorena National Forest","Federal","249","2001","São Paulo"
"Mananciais de Campos do Jordão State Park","State","503","1993","São Paulo"
"Mananciais do Rio Paraíba do Sul Environmental Protection Area","Federal","336,416","1982","São Paulo Minas Gerais Rio de Janeiro"
"Passa Quatro National Forest","Federal","350","1968","Minas Gerais"
"Pedra Selada State Park","State","8,036","2012","Rio de Janeiro"
"Rio Pombo Nature Park (formerly Serrinha do Alambari Municipal Park)","Municipal","6.7","2009","Rio de Janeiro"
"São Francisco Xavier Environmental Protection Area","State","11,559","2002","São Paulo"
"Sapucaí Mirim Environmental Protection Area","State","39,800","1998","São Paulo"
"Serra da Mantiqueira Environmental Protection Area","Federal","434,108","1985","Minas Gerais Rio de Janeiro São Paulo"
"Serra do Papagaio State Park","State","22,917","1998","Minas Gerais"
"Serrinha do Alambari Environmental Protection Area","Municipal","5,760","1991","Rio de Janeiro"
