"Name","Nat.","Years","Apps","Goals","Position"
"Billy Bassett","England","1886–99","311","77","Outside right"
"Jesse Pennington","England","1903–22","496","0","Left back"
"W. G. Richardson","England","1929–45","354","228","Centre forward"
"Ray Barlow","England","1944–60","482","48","Left-half"
"Ronnie Allen","England","1950–61","458","234","Centre forward"
"Don Howe","England","1952–64","379","19","Right back"
"Derek Kevan","England","1953–63","262","157","Centre forward"
"Tony Brown","England","1963–81","720","279","Wing half/Inside forward"
"Jeff Astle","England","1964–74","361","174","Centre forward"
"John Osborne","England","1967–72 1973–78","312","0","Goalkeeper"
"John Wile","England","1970–83","619","29","Centre-half"
"Willie Johnston","Scotland","1972–79","261","28","Outside left"
"Bryan Robson","England","1974–81","249","46","Central midfielder"
"Derek Statham","England","1976–87","373","11","Left back"
"Laurie Cunningham","England","1977–79","114","30","Winger"
"Cyrille Regis","England","1977–84","302","112","Centre forward"
"Russell Hoult","England","2001–07","213","0","Goalkeeper"
