"Round","Clubs remaining","Clubs involved","Winners from previous round","Games played","Goals scored","Prize money"
"Preliminary Round","293","106","–","46","222","£325"
"First Round Qualifying","240","146","53","67","373","£375"
"Second Round Qualifying","167","120","73","59","338","£450"
"Third Round Qualifying","107","60","60","30","139","£600"
"First Round","77","30","30","15","60","£850"
"Second Round","62","40","15","20","81","£900"
"Third Round","42","20","20","10","39","£1,000"
"Fourth Round","32","32","10","16","64","£2,000"
"Fifth Round","16","16","16","8","31","£3,000"
"Quarter-Final","8","8","8","","","£4,000"
"Semi-Final","4","4","4","","","£5,000"
"The Final","2","2","2","","","£15,000 (runners-up) £25,000 (winners)"
