"Governorate","Seats 2010","Seats 2005","In/de-creased by","Percentage in/de-crease","Registered voters","Votes Cast"
"Al Anbar Governorate","14","9","5","55.6%","802,000","472,603"
"Babil Governorate","16","11","5","45.5%","961,000","586,281"
"Baghdad Governorate","68","59","9","15.3%","4,599,000","2,541,766"
"Basra Governorate","24","16","8","50.0%","1,466,000","814,810"
"Dahuk Governorate","10","7","3","42.9%","574,000","424,715"
"Dhi Qar Governorate","18","12","6","50.0%","993,000","572,177"
"Diyala Governorate","13","10","3","30.0%","840,000","502,896"
"Erbil Governorate","14","13","1","7.7%","917,000","680,408"
"Karbala Governorate","10","6","4","66.7%","564,000","333,434"
"Kirkuk Governorate","12","9","3","33.3%","787,000","556,384"
"Maysan Governorate","10","7","3","42.9%","561,000","272,818"
"Al Muthanna Governorate","7","5","2","40.0%","379,000","229,141"
"Najaf Governorate","12","8","4","50.0%","696,000","411,424"
"Ninawa Governorate","31","19","12","63.2%","1,702,000","1,054,798"
"Al-Qādisiyyah Governorate","11","8","3","37.5%","619,000","373,339"
"Salah ad Din Governorate","12","8","4","50.0%","696,000","488,865"
"As Sulaymaniyah Governorate","17","15","2","13.3%","1,098,000","833,631"
"Wasit Governorate","11","8","3","37.5%","638,000","376,922"
"Compensatory seats","7","45","38","84.4%","",""
"Minorities","8","0","8","100%","",""
"Total","325","275","50","18.2%","18,892,000","11,526,412"
