"No.","Name","Size (km2)","Location","Year built","Utilisation"
"1","Flevopolder","970","Flevoland, Netherlands","1968","Towns, agriculture"
"2","Yas Island","25","Abu Dhabi, UAE","2018","Yas Marina Circuit"
"3","Kansai International Airport","10.68","Osaka, Japan","1994","Airport"
"4","Hong Kong International Airport","9.4","Hong Kong","1998","Airport"
"5","Palm Jebel Ali","8","Dubai, UAE","Unknown","on hold"
"6","Chūbu Centrair International Airport","6.8","Tokoname, Japan","2005","Airport"
"7","Ogizima","6.71","Yokohama, Japan","1975","Factory"
"8","Palm Jumeirah","6.5","Dubai, UAE","2002","Housing"
"9","Rokko Island","5.8","Kobe, Japan","1992","Housing"
"10","Fundão Island","5.23","Rio de Janeiro, Brazil","1983","Federal University of Rio de Janeiro"
"11","Port Island","5.2","Kobe, Japan","1981","Housing"
"12","Willingdon Island","3.96","Kochi, India","1936","Port, Naval Base"
