"#","Title","Publication year","Preceded by","Followed by","Collection"
"1","A Fistful of Warlocks","2017","","Storm Front","Brief Cases"
"2","Restoration of Faith","2010","","Storm Front","Side Jobs"
"3","B is for Bigfoot","2012","Fool Moon","Grave Peril","Brief Cases"
"4","Publicity and Advertising","2010","Death Masks","Blood Rites","Side Jobs"
"5","Something Borrowed","2006","Dead Beat","Proven Guilty","Side Jobs"
"6","I Was a Teenage Bigfoot","2012","Dead Beat","Proven Guilty","Brief Cases"
"7","It's My Birthday, Too","2007","White Night","Small Favor","Side Jobs"
"8","Heorot","2007","White Night","Small Favor","Side Jobs"
"9","Harry's Day Off","2008","Small Favor","Turn Coat","Side Jobs"
"10","Backup","2008","Small Favor","Turn Coat","Side Jobs"
"11","The Warrior","2009","Small Favor","Turn Coat","Side Jobs"
"12","Last Call","2009","Small Favor","Turn Coat","Side Jobs"
"13","Curses","2011","Small Favor","Turn Coat","Brief Cases"
"14","AAAA Wizardry","2009","Unknown","Unknown","Brief Cases"
"15","Love Hurts","2010","Turn Coat","Changes","Side Jobs"
"16","Bigfoot on Campus","2012","Turn Coat","Changes","Brief Cases"
"17","Even Hand","2010","Turn Coat","Changes","Brief Cases"
"18","Aftermath","2010","Changes","Ghost Story","Side Jobs"
"19","Bombshells","2013","Ghost Story","Cold Days","Brief Cases"
"20","Cold Case","2016","Cold Days","Skin Game","Brief Cases"
"21","Jury Duty","2015","Skin Game","","Brief Cases"
"22","Day One","2016","Skin Game","","Brief Cases"
"23","Zoo Day","2018","Skin Game","","Brief Cases"
"24","Christmas Eve","2018","Skin Game","",""
