"Nos.","Year","Title","Role","Language","Notes","Ref."
"1","2005","Kana Kandaen","Madhan","Tamil","",""
"2","2006","Parijatham","Surendhar Sreedhar","Tamil","",""
"3","2007","Mozhi","Karthik","Tamil","Dubbed in Telugu as Maatarani Mounamidi (2012)",""
"4","2007","Satham Podathey","Ravichandran","Tamil","Dubbed in Malayalam as Kelkaatha Shabdham",""
"5","2007","Kannamoochi Yenada","Harish Venkatraman","Tamil","",""
"6","2008","Velli Thirai","Saravanan","Tamil","Remake of Udayananu Tharam",""
"7","2008","Abhiyum Naanum","Sudhakar","Tamil","Cameo appearance",""
"8","2009","Ninaithale Inikkum","Shiva","Tamil","Remake of Classmates",""
"9","2010","Police Police","Ravikanth","Telugu","",""
"10","2010","Raavanan","Dev Prakash","Tamil","Dubbed in Telugu as Villain",""
"11","2012","Aiyyaa","Surya Iyer","Hindi","Nominated: Zee Cine Award for Best Male Debut",""
"12","2013","Aurangzeb","ACP Arya Phogat","Hindi","IBNLive Movie Award for Best Actor in Supporting Role",""
"13","2014","Kavya Thalaivan","Gomathinayagam Pillai","Tamil","Dubbed in Malayalam as Prathinayakan",""
"14","2017","Naam Shabana","Tony / Mikhail","Hindi","",""
