"Year","Event","Opponent","Date","Venue","Team","Team","Winner","Ref"
"2006","FESPIC Games","China","24 November","Kuala Lumpur","1","11","China",""
"2006","FESPIC Games","Japan","26 November","Kuala Lumpur","2","6","Iran",""
"2006","FESPIC Games","Japan","28 November","Kuala Lumpur","3","3","",""
"2006","FESPIC Games","China","29 November","Kuala Lumpur","8","4","China",""
"2006","FESPIC Games","China","30 November","Kuala Lumpur","8","2","China",""
"2007","IBSA World Championships and Games","Finland","31 July","Brazil","7","5","Finland",""
"2007","IBSA World Championships and Games","Greece","1 August","Brazil","4","4","",""
"2007","IBSA World Championships and Games","Sweden","1 August","Brazil","10","1","Sweden",""
"2007","IBSA World Championships and Games","Germany","2 August","Brazil","5","13","Germany",""
"2007","IBSA World Championships and Games","Great Britain","3 August","Brazil","7","9","Great Britain",""
