"Rank","Date","Attendance","Opponent","Result"
"1","September 21, 2012","31,175","Baylor","L, 42–47"
"2","November 20, 2007","30,101","Grambling State","W, 28–14"
"3","October 10, 1998","28,725","Louisiana Tech","L, 14–44"
"4","September 10, 2011","26,532","Grambling State","W, 35–7"
"5","September 7, 1996","24,842","Minnesota","L, 3–30"
"6","September 3, 2016","24,718","Southern","W, 38–21"
"7","October 9, 1982","23,900","Louisiana Tech","L, 10–17"
"8","September 7, 2013","23,600","Grambling State","W, 48–10"
"9","November 3, 1984","23,452","Louisiana Tech","W, 12–10"
"10","August 30, 2007","22,022","Tulsa","L, 17–35"
