"Election date","Party leader","Number of votes","Percentage of votes","Number of seats","+/–"
"1962","Ahmed Ben Bella","5,267,324","99.7%","196 / 196","196"
"1964","Ahmed Ben Bella","4,493,416","87.0%","196 / 196",""
"1977","Houari Boumediene","6,037,537","75.84%","261 / 261","65"
"1982","Chadli Bendjedid","6,054,740","100%","282 / 282","21"
"1987","Chadli Bendjedid","9,910,631","100%","295 / 295","13"
"1991","Chadli Bendjedid","1,612,947","23.4%","15 / 231","280"
"1997","Boualem Benhamouda","1,497,285","14.3%","62 / 380","47"
"2002","Abdelaziz Bouteflika","2.618.003","34.3%","199 / 389","137"
"2007","Abdelaziz Belkhadem","1,315,686","22.98%","136 / 386","63"
"2012","Abdelmalek Sellal","1,324,363","17.35%","208 / 462","72"
"2017","Djamel Ould Abbes","1,681,321","25.99%","164 / 462","44"
