"#","Nat.","Pos.","Name","Period","Appearances"
"1","England","FL","David Matthews","1955–1974","502"
"2","England","HK","Sid Penny","1895–1910","491"
"3","England","SH","John Allen","1961–1975","457"
"4","England","HK","Doug Norman","1919–1933","453"
"5","England","CE","Paul Dodge","1975–1993","437"
"6","England","PR","Graham Rowntree","1990–2007","398"
"7","England","FB","Dusty Hare","1976–1989","394"
"8","England","SH","Pedlar Wood","1906–1923","388"
"9","England","N8","Garry Adey","1966–1981","381"
"10","England","FL","John Wells","1982–1998","367"
