"Season","Place","Record","PF","PA","Captain","MVP"
"1959 team","7th","4–5","122","161","George Genyk","Tony Rio"
"1960 team","5th","5–4","133","84","Gerald Smith","Dick Fitzgerald"
"1961 team","6th","6–3","212","163","George Mans","John Walker"
"1962 team","10th","2–7","70","214","Bob Brown","Dave Raimey"
"1963 team","5th (tie)","3–4–2","131","127","Joe O'Donnell","Tom Keating"
"1964 team","1st","9–1","235","83","Jim Conley","Bob Timberlake"
"1965 team","7th (tie)","4–6","185","161","Tom Cecchini","Bill Yearby"
"1966 team","3rd (tie)","6–4","236","138","Jack Clancy","Jack Clancy"
"1967 team","5th (tie)","4–6","144","179","Joe Dayton","Ron Johnson"
"1968 team","2nd","8–2","277","155","Ron Johnson","Ron Johnson"
