"No","Peak","Elevation (m)","Prominence (m)","Island (m)","Spesial"
"1","Poco Ngandonalu","2,367","2,367","Flores",""
"2","Mutis","2,417","1,970","Timor",""
"3","Dola Koyakoya","1,821","1,821","Alor",""
"4","Ili Boleng","1,658","1,658","Adonara",""
"5","Inerie","2,227","1,625","Flores",""
"6","Ili Labalekang","1,621","1,621","Lembata",""
"7","Lewotolo","1,449","1,415","Lembata",""
"8","Egon","1,708","1,405","Flores",""
"9","Ili Mandiri","1,484","1,401","Flores",""
"10","Lewotobi","1,703","1,400","Flores",""
"11","Sirung (Sopak)","1,336","1,336","Pantar",""
"12","Ebolobo","2,137","1,316","Flores",""
"13","Keli Lepembusu","1,754","1,250","Flores",""
"14","Ili Ujolewung","1,523","1,246","Lembata",""
"15","Wanggameti","1,225","1,225","Sumba",""
"16","Fatu Timau","1,762","1,131","Timor",""
"17","Curunumbeng","1,988","1,061","Flores",""
"18","Ili Wukoh","1,431","1,046","Flores",""
"19","Pura","991","991","Pura","Spesial"
"20","Pulau Besar","975","975","Besar","Spesial"
"21","Mbeliling","1,258","848","Flores","Spesial"
"22","Ara","824","824","Komodo","Spesial"
"23","Batu Tara","748","748","Komba","Spesial"
"24","Tuntuli","959","743","Pantar","Spesial"
"25","Doro Ora","735","735","Rinca","Spesial"
"26","Iya","637","591","Flores","Spesial"
"27","Poco Ranakah","2,292","581","Flores","Spesial"
"28","Kelimutu (Inspiration Point)","1,647","48","Flores","Spesial"
