"Grid","No.","Driver","Manufacturer","Speed","Owner"
"1","9","Bill Elliott","Ford","212.809","Harry Melling"
"2","22","Bobby Allison","Buick","211.797","Stavola Brothers"
"3","28","Davey Allison","Ford","210.610","Harry Ranier"
"4","17","Darrell Waltrip","Chevrolet","210.471","Rick Hendrick"
"5","3","Dale Earnhardt","Chevrolet","210.360","Richard Childress"
"6","21","Kyle Petty","Ford","210.346","Wood Brothers"
"7","44","Sterling Marlin","Oldsmobile","210.194","Billy Hagan"
"8","11","Terry Labonte","Chevrolet","210.101","Junior Johnson"
"9","55","Phil Parsons","Oldsmobile","209.963","Leo Jackson / Richard Jackson"
"10","83","Lake Speed","Oldsmobile","209.963","Lake Speed"
