"Player","Pos.","Team","Career start","Career end","Games played","Steals","Ref."
"John Linehan","G","Providence","1997","2002","122","385",""
"Eric Murdock","G","Providence (2)","1987","1991","117","376",""
"Brianté Weber","G","VCU","2011","2015","127","374",""
"Pepe Sánchez","G","Temple","1996","2000","116","365",""
"Cookie Belcher","G","Nebraska","1996","2001","131","353",""
"Kevin Braswell","G","Georgetown","1998","2002","128","349",""
"Bonzi Wells","G","Ball State","1994","1998","116","347",""
"Obie Trotter","G","Alabama A&M","2002","2006","114","346",""
"Gerald Walker","G","San Francisco","1992","1996","111","344",""
"Johnny Rhodes","G","Maryland","1992","1996","122","344",""
"Devan Downey","G","Cincinnati / South Carolina","2005","2010","128","342",""
"Michael Anderson","G","Drexel","1984","1988","115","341",""
"Kenny Robertson","G","Cleveland State","1986","1990","119","341",""
"Aaron Craft","G","Ohio State","2010","2014","148","337",""
"Keith Jennings","G","ETSU","1987","1991","127","334",""
"Juan Dixon","G","Maryland (2)","1998","2002","141","333",""
"Desmond Cambridge","G","Alabama A&M (2)","1999","2002","84","330",""
"Matisse Thybulle","G","Washington","2015","2019","135","330",""
"Jevon Carter","G","WVU","2014","2018","144","330",""
"Greg Anthony","G","Portland / UNLV","1987","1991","138","329",""
"Jason Hart","G","Syracuse","1996","2000","132","329",""
"D. J. Cooper","G","Ohio","2009","2013","143","328",""
"Chris Corchiani","G","NC State","1987","1991","124","328",""
"Marques Green","G","St. Bonaventure","2000","2004","112","325",""
"T. J. McConnell","G","Duquesne / Arizona","2010","2015","139","324",""
