"Season","Series","Class","Team","Wins","Final placing"
"1998","World Enduro Championship","125 cc","Yamaha","0","19th"
"1999","World Enduro Championship","125 cc","Yamaha","0","9th"
"2000","World Enduro Championship","250 cc","Yamaha","0","8th"
"2001","World Enduro Championship","250 cc","Husqvarna","3","3rd"
"2002","World Enduro Championship","250 cc","Husqvarna","11","1st"
"2003","World Enduro Championship","250 cc","KTM","5","2nd"
"2004","World Enduro Championship","E3","KTM","11","1st"
"2005","World Enduro Championship","E2","KTM","5","1st"
"2006","World Enduro Championship","E2","KTM","6","1st"
"2007","World Enduro Championship","E2","KTM","2","2nd"
"2008","World Enduro Championship","E3","KTM","5","1st"
"2009","World Enduro Championship","E3","KTM","0","4th"
