"Name","","Type","Inaug.","No Blocks","No Units","Notes"
"Cheong Shing Court","昌盛苑","HOS","2000","3","1,280",""
"Cheung Wah Estate","祥華邨","TPS","1984","10","2,471",""
"Ka Fuk Estate","嘉福邨","Public","1994","3","2,045",""
"Ka Shing Court","嘉盛苑","HOS","1995","4","2,432",""
"King Shing Court","景盛苑","HOS","1995","4","2,432",""
"Wah Ming Estate","華明邨","Public","1990","7","2,476",""
"Wah Sum Estate","華心邨","Public","1995","2","1,481",""
"Wing Fai Centre","榮輝中心","PSPS","1996","4","1,350",""
"Wing Fok Centre","榮福中心","PSPS","1994","6","1,680",""
"Yan Shing Court","欣盛苑","HOS","1993","7","2,450",""
"Yung Shing Court","雍盛苑","Public/HOS","2000","3","2,500",""
