"Year","Title (A-side)","Title (B-side)","Record label","Catalogue reference"
"1962","%INLINEQ%Taking Care of Business%INLINEQ%","%INLINEQ%Yesterday's Kisses%INLINEQ%","Douglas","104"
"1963","%INLINEQ%Cry to Me%INLINEQ%","%INLINEQ%I'll Be A Liar%INLINEQ%","Jubilee","5456"
"1964","%INLINEQ%His Kiss%INLINEQ%","%INLINEQ%It's Dark Outside%INLINEQ%","Jubilee","5465"
"1964","%INLINEQ%Mojo Hannah%INLINEQ%","%INLINEQ%Now Is The Hour%INLINEQ%","Jubilee","5480"
"1965","%INLINEQ%What A Sad Feeling%INLINEQ%","%INLINEQ%I'm Evil Tonight%INLINEQ%","Sansu","450"
"1966","%INLINEQ%I Don't Want to Hear It%INLINEQ%","%INLINEQ%Sometime%INLINEQ%","Sansu","452"
"1966","%INLINEQ%Twelve Red Roses%INLINEQ%","%INLINEQ%What'd I Do Wrong%INLINEQ%","Sansu","455"
"1967","%INLINEQ%Lonely Hearts%INLINEQ%","%INLINEQ%Bad Luck%INLINEQ%","Sansu","461"
"1967","%INLINEQ%Nearer to You%INLINEQ%","%INLINEQ%I'm Evil Tonight%INLINEQ%","Sansu","466"
"1967","%INLINEQ%Can't Last Much Longer%INLINEQ%","%INLINEQ%I'm Gonna Git Ya%INLINEQ%","Sansu","471"
"1968","%INLINEQ%Love Lots of Lovin'%INLINEQ%","%INLINEQ%Take Care of Our Love%INLINEQ% (with Lee Dorsey)","Sansu","474"
"1968","%INLINEQ%What'd I Do Wrong%INLINEQ%","%INLINEQ%Mean Man%INLINEQ%","Sansu","478"
"1968","%INLINEQ%Hook Line 'N' Sinker%INLINEQ%","%INLINEQ%Show It%INLINEQ%","Sansu","479"
"1968","%INLINEQ%Ride Your Pony%INLINEQ%","%INLINEQ%Trouble With My Lover%INLINEQ%","Sansu","480"
"1969","%INLINEQ%There's A Break in The Road%INLINEQ%","%INLINEQ%All I Want Is You%INLINEQ%","SSS International","766"
