"Portrait","Ruler","Began","Ended","Family","Remarks"
"-","Ieremia Movilă","1595","1600","Movilești","grandson of Petru Rareș; 1st rule"
"-","Mihail I Viteazul (Michael I the Brave)","1600","1600","Drăculești","also ruled Wallachia (1593–1600) and Transylvania (1599–1600)"
"-","Ieremia Movilă","1600","1606","Movilești","2nd rule"
"-","Simion Movilă","1606","1607","Movilești","brother of Iremia Movilă"
"","Mihail II Movilă","1607","1607","Movileşti","son of Ieremia Movilă; 1st rule"
"","Constantin I Movilă","1607","1607","Movilești","son of Ieremia Movilă; under the regency of his mother Elzbieta Csomortany de Losoncz; 1st rule"
"","Mihail II Movilă","1607","1607","Movilești","2nd rule"
"","Constantin I Movilă","1607","1611","Movilești","under the regency of his mother; 2nd rule"
"-","Ștefan IX Tomșa","1611","1615","","1st rule"
"","Alexandru VI Movilă","1615","1616","Movilești",""
"-","Radu Mihnea","1616","1619","Drăculești","1st rule"
"-","Gaspar Graziani","1619","1620","",""
