"Pos","No","Driver","Constructor","Q1 Time","Q2 Time","Gap"
"1","8","Spain Fernando Alonso","Renault","1:36.693","1:37.044",""
"2","7","Italy Jarno Trulli","Renault","1:36.301","1:37.217","+0.173"
"3","1","Germany Michael Schumacher","Ferrari","1:34.980","1:37.393","+0.349"
"4","5","United Kingdom David Coulthard","McLaren-Mercedes","1:36.297","1:37.454","+0.410"
"5","2","Brazil Rubens Barrichello","Ferrari","1:35.681","1:37.579","+0.535"
"6","9","Germany Nick Heidfeld","Sauber-Petronas","1:36.407","1:37.766","+0.722"
"7","6","Finland Kimi Räikkönen","McLaren-Mercedes","1:36.038","1:37.858","+0.814"
"8","3","Colombia Juan Pablo Montoya","Williams-BMW","1:35.939","1:37.974","+0.930"
"9","17","United Kingdom Jenson Button","BAR-Honda","1:36.632","1:38.073","+1.029"
"10","20","France Olivier Panis","Toyota","1:36.995","1:38.094","+1.050"
"11","21","Brazil Cristiano da Matta","Toyota","1:36.706","1:38.097","+1.053"
"12","16","Canada Jacques Villeneuve","BAR-Honda","1:37.585","1:38.289","+1.245"
"13","10","Germany Heinz-Harald Frentzen","Sauber-Petronas","1:36.615","1:38.291","+1.247"
"14","11","Italy Giancarlo Fisichella","Jordan-Ford","1:36.759","1:38.416","+1.372"
"15","15","Brazil Antônio Pizzonia","Jaguar-Cosworth","no time","1:38.516","+1.472"
"16","14","Australia Mark Webber","Jaguar-Cosworth","1:37.669","1:38.624","+1.580"
"17","4","Germany Ralf Schumacher","Williams-BMW","1:36.805","1:38.789","+1.745"
"18","19","Netherlands Jos Verstappen","Minardi-Cosworth","1:38.904","1:40.417","+3.373"
"19","18","United Kingdom Justin Wilson","Minardi-Cosworth","1:39.354","1:40.599","+3.555"
"20","12","Republic of Ireland Ralph Firman","Jordan-Ford","1:38.240","1:40.910","+3.866"
