"Edition","Year","City","Country","Date","Venue","Events","Nations","Athletes","Top of the medal table"
"1","1979","Dakar","Senegal","2–5 August","Stade Demba Diop","39","24","251","Nigeria"
"2","1982","Cairo","Egypt","25–28 August","Cairo International Stadium","39","18","297","Kenya"
"3","1984","Rabat","Morocco","12–15 July","Stade Moulay Abdellah","39","28","298","Kenya"
"4","1985","Cairo","Egypt","15–18 August","Cairo International Stadium","40","24","324","Nigeria"
"5","1988","Annaba","Algeria","29 August – 2 September","Stade 19 Mai 1956","41","30","341","Nigeria"
"6","1989","Lagos","Nigeria","4–8 August","Lagos National Stadium","41","27","308","Nigeria"
"7","1990","Cairo","Egypt","3–6 October","Cairo International Stadium","41","23","218","Nigeria"
"8","1992","Belle Vue Maurel","Mauritius","25–28 June","Stade Anjalay","41","24","336","South Africa"
"9","1993","Durban","South Africa","23–27 June","Kings Park Stadium","41","32","294","South Africa"
"10","1996","Yaoundé","Cameroon","13–16 June","Ahmadou Ahidjo Stadium","40","33","307","Nigeria"
"11","1998","Dakar","Senegal","18–22 August","Stade Leopold Senghor","42","39","395","Nigeria"
"12","2000","Algiers","Algeria","10–14 July","Stade 5 Juillet 1962","43","43","411","Algeria"
"13","2002","Radès","Tunisia","6–10 August","Rades Olympic Stadium","43","42","417","South Africa"
"14","2004","Brazzaville","Republic of the Congo Congo","14–18 July","Stade Alphonse Massemba-Débat","44","42","431","South Africa"
"15","2006","Bambous","Mauritius","9–13 August","Stade Germain Comarmond","44","41","456","South Africa"
"16","2008","Addis Ababa","Ethiopia","30 April – 4 May","Addis Ababa Stadium","44","42","543","South Africa"
"17","2010","Nairobi","Kenya","28 July – 1 August","Nyayo Stadium","44","46","588","Kenya"
"18","2012","Porto-Novo","Benin","27 June – 1 July","Stade Charles de Gaulle","44","47","569","Nigeria"
"19","2014","Marrakech","Morocco","10–14 August","Stade de Marrakech","44","47","548","South Africa"
"20","2016","Durban","South Africa","22–26 June","Kings Park Stadium","44","","","South Africa"
"21","2018","Asaba","Nigeria","1–5 August","Stephen Keshi Stadium","44","","","Kenya"
"22","2020","","Algeria","","","","","",""
