"Name","Acres","Km2","Start Date","Containment Date","Notes","Ref"
"Jacumba","29","0.1","May 5, 2014","May 6, 2014","",""
"Bernardo","1,548","6.3","May 13, 2014","May 17, 2014","",""
"Tomahawk","5,367","21.7","May 14, 2014","May 19, 2014","",""
"Poinsettia","600","2.4","May 14, 2014","May 17, 2014","28 structures destroyed",""
"Highway","380","1.5","May 14, 2014","May 15, 2014","",""
"River","105","0.4","May 14, 2014","May 19, 2014","",""
"Cocos","1,995","8.1","May 14, 2014","May 22, 2014","40 structures destroyed",""
"Freeway","56","0.2","May 14, 2014","May 20, 2014","",""
"Aurora","17","0.1","May 14, 2014","May 14, 2014","",""
"Pulgas","14,416","58.3","May 15, 2014","May 21, 2014","",""
"San Mateo","1,457","5.9","May 16, 2014","May 20, 2014","",""
"Sycamore","30","0.1","May 17, 2014","May 17, 2014","",""
