"No.","Year","Title","Role","Director(s)"
"1","2013","Red Wine","Unnamed medical student","Salam Bappu"
"2","2013","Neram","Manick/Manikunju","Alphonse Putharen"
"3","2014","Law Point","Abay","Lijin Jose"
"4","2015","Premam","Koya","Alphonse Putharen"
"5","2015","Waiting","Dr Ravi","Anu Menon"
"6","2016","Valleem Thetti Pulleem Thetti","Gagan","Rishi"
"7","2016","Marubhoomiyile Aana","Suku","V. K. Prakash"
"8","2017","Njandukalude Nattil Oridavela","Subbu","Althaf Salim"
"9","2018","Aadhi","Nadhir","Jeethu Joseph"
"10","2018","Thobama","","Alphonse Puthren"
"11","2019","Allu Ramendran","Jithu","Bilahari K. Raj"
"12","2019","Mariyam Vannu Vilakkoothi","TBA","Jenith Kachappilly"
