"Event","Position","Overall Position","Distance / Length","Year"
"Cape Wrath Ultra","1","12","400 km","2018"
"Fellsman 2018","2","20","98 km","2018"
"Kielder Ultra 100k","1","5","100 km","2018"
"Glendalough Clover Ultra","1","16","80 km","2018"
"Spine Race 2018","1","8","431 km","2018"
"Spine Race 2017","1","6 (Joint)","431 km","2017"
"Dragon’s Back 2017","1","9","315 km","2017"
"Kerry Way Ultra, 2017","1","4","","2017"
"Ultra-Trail du Mont Blanc 2016","20","","166 km","2016"
"Transgrancanaria 2016","11","","125 km","2016"
"Connemarathon 2007","10","128","42.2 km","2007"
"Lakeland 100 2015","1","12","100 km","2015"
"Dragon's Back 2015","8","30","315 km","2015"
"Fellsman 2014","1","22","98 km","2014"
"Fellsman 2015","3","36","98 km","2015"
"Fellsman 2013","2","44","98 km","2013"
"Lakeland 100 2014","4","","100 km","2014"
"Connemarathon 2012","1","22","63.3 km","2012"
"Connemarathon 2011","1","15","63.3 km","2011"
"Connemarathon 2010","2","30","63.3 km","2010"
"Connemarathon 2009","2","24","63.3 km","2009"
"Highland Fling Race 2009","14","","85.3 km","2009"
