"Player","Pos.","Team(s)","Games played","Career start","Career end","Ref."
"David Lighty‡","G/F","Ohio State","157","2006","2011",""
"Jakob Gollon‡","F","Mercer","154","2008","2014",""
"Nate Austin‡","F/C","BYU","153","2011","2016",""
"Josh Perkins‡","G","Gonzaga","153","2014","2019",""
"Przemek Karnowski‡","C","Gonzaga (2)","152","2012","2017",""
"Darius Miller","G/F","Kentucky","152","2008","2012",""
"Deon Thompson","F","North Carolina","152","2006","2010",""
"Nate Britt","G","North Carolina (2)","151","2013","2017",""
"Isaiah Hicks","F","North Carolina (3)","151","2013","2017",""
"Walter Hodge","G","Florida","151","2005","2009",""
"Wayne Turner","G","Kentucky (2)","151","1995","1999",""
"Antonio Anderson","F","Memphis","150","2005","2009",""
"Nigel Hayes","F","Wisconsin","150","2013","2017",""
"Amile Jefferson‡","F","Duke","150","2012","2017",""
"Patric Young","C/F","Florida (2)","150","2010","2014",""
"Joey Dorsey","C","Memphis (2)","149","2004","2008",""
"Lamar Patterson‡","G/F","Pittsburgh","149","2009","2014",""
"Ethan Wragge‡","F","Creighton","149","2009","2014",""
"Mike Best‡","F/C","UC Irvine","148","2011","2016",""
"Phil Booth‡","G","Villanova","148","2014","2019",""
"Aaron Craft","G","Ohio State (2)","148","2010","2014",""
"Robert Dozier","F","Memphis (3)","148","2005","2009",""
"Josh Gasser","G","Wisconsin (2)","148","2010","2015",""
"Brice Johnson","F","North Carolina (4)","148","2012","2016",""
"Bronson Koenig","G","Wisconsin (3)","148","2013","2017",""
"Christian Laettner","F/C","Duke (2)","148","1988","1992",""
"Kyle Singler","F","Duke (3)","148","2007","2011",""
"Casey Benson","G","Oregon / Grand Canyon","147","2014","2018",""
"Willie Kemp","G","Memphis (4)","147","2006","2010",""
"Greg Koubek","F","Duke (4)","147","1987","1991",""
"Danny Manning","F","Kansas","147","1984","1988",""
"Brandon Triche","G","Syracuse","147","2009","2013",""
"Kyle Wiltjer","F","Kentucky (3) / Gonzaga (3)","147","2011","2016",""
