"","2008 general","2009 European","2010 regional","2013 general","2014 European","2015 regional","2018 general","2020 regional"
"Piedmont","32.4","24.7","23.2","25.1","40.8","41.0 (2014)","20.5",""
"Lombardy","28.1","21.3","22.9","25.6","40.3","32.4 (2013)","21.1","22.3 (2018)"
"Veneto","26.5","20.3","20.3","21.3","37.5","20.5","16.7",""
"Emilia-Romagna","45.7","38.6","40.6","37.0","52.5","44.5 (2014)","26.4",""
"Tuscany","46.8","38.7","42.2","37.5","56.6","46.3","29.6",""
"Lazio","36.8","28.1","26.3","25.7","39.2","34.2 (2013)","TBD","25.5"
"Campania","29.2","23.4","21.4","21.9","36.1","29.2","13.2",""
"Apulia","30.1","21.7","20.8","18.5","33.6","32.1","13.7",""
"Calabria","32.6","25.4","22.8","22.4","35.8","36.2 (2014)","14.3",""
"Sicily","25.4","21.9","18.8 (2008)","18.6","34.9","21.2 (2017)","11.5",""
