"Number","Reserve","Canton","Since","Revised"
"101","Col de Bretolet","Valais","1991","2001"
"102","Witi","Berne, Solothurn","1992","2001"
"103","Alter Rhein: Rheineck","St. Gallen","2001",""
"104","Rorschacher Bucht / Arbon","St. Gallen","2001",""
"105","Zürich-Obersee: Guntliweid up to Bätzimatt at the Buechberg hill","Schwyz","2001",""
"106","Reuss: Bremgarten -Zufikon up to Rottenschwil","Aargau","2001",""
"108","Kanderdelta up to Hilterfingen","Berne","2001",""
"109","Wohlensee (Halenbrücke up to Wohleibrücke)","Berne","2001",""
"110","Stausee Niederried","Berne","2001",""
"111","Hagneckdelta and Ile St-Pierre","Berne","2001",""
"112","Häftli [de] near Büren","Berne","2001",""
"113","Aare near Solothurn and the Aar Flumenthal nature preserve","Solothurn","2001",""
"114","Plaine de l'Orbe: Chavornay up to Bochuz","Vaud","2001",""
"115","Salavaux","Vaud","2001",""
"116","Mies / Versoix","Vaud, Geneva","2001",""
"117","Pointe de Promenthoux","Vaud","2001",""
"118","Port Noir up to Hermance","Geneva","2001",""
"119","Bolle di Magadino","Ticino","2001",""
