"Title","Name","Term begin","Term end","Appointed by"
"Chief Justice","Philemon Bliss","1861","1864","Abraham Lincoln"
"Associate Justice","George P. Williston","1861","1865","Abraham Lincoln"
"Associate Justice","Joseph L. Williams","1861","1865","Abraham Lincoln"
"Chief Justice","Ara Bartlett","1864","1869","Abraham Lincoln"
"Associate Justice","William E. Gleason","1865","1867",""
"Associate Justice","Jefferson P. Kidder","1865","1875",""
"Associate Justice","John W. Boyle","1867","1869","Andrew Johnson"
"Associate Justice","Wilmot Brookings","1869","1873",""
"Chief Justice","George W. French","1869","1873",""
"Associate Justice","Alanson H. Barnes","1873","1881","Ulysses S. Grant"
"Chief Justice","Peter C. Shannon","1873","1882","Ulysses S. Grant"
"Associate Justice","Granville G. Bennett","1875","1878","Ulysses S. Grant"
"Associate Justice","Gideon C. Moody","1878","1883","Rutherford B. Hayes"
"Associate Justice","Jefferson P. Kidder","1879","1883","Rutherford B. Hayes"
"Associate Justice","Sanford A. Hudson","1881","1885",""
"Chief Justice","Alonzo J. Edgerton","1882","1886","Chester A. Arthur"
"Associate Justice","William E. Church","1883","1886","Chester A. Arthur"
"Associate Justice","Cornelius S. Palmer","1883","1888","Chester A. Arthur"
"Associate Justice","William H. Francis","1884","1888","Chester A. Arthur"
"Associate Justice","Seward Smith","1884","1885","Chester A. Arthur"
"Associate Justice","Louis K. Church","1885","1887","Grover Cleveland"
"Associate Justice","William B. McConnell","1885","1889","Grover Cleveland"
"Chief Justice","Bartlett Tripp","1886","1889","Grover Cleveland"
"Associate Justice","Charles M. Thomas","1887","1889","Grover Cleveland"
"Associate Justice","James Spencer","1887","1889","Grover Cleveland"
"Associate Justice","John E. Carland","1888","1889","Grover Cleveland"
"Associate Justice","Roderick Rose","1888","1889","Grover Cleveland"
"Associate Justice","Charles F. Templeton","1888","1889","Grover Cleveland"
"Associate Justice","Louis W. Crofoot","1888","1889","Grover Cleveland"
"Associate Justice","Frank R. Aitkens","1889","1889","Benjamin Harrison"
