"Gmina","Type","Area (km²)","Population (2006)","Seat"
"Gmina Czechowice-Dziedzice","urban-rural","66.3","43,248","Czechowice-Dziedzice"
"Gmina Jasienica","rural","91.7","20,373","Jasienica"
"Gmina Wilamowice","urban-rural","56.7","15,166","Wilamowice"
"Gmina Porąbka","rural","64.6","14,703","Porąbka"
"Gmina Wilkowice","rural","33.9","12,329","Wilkowice"
"Gmina Kozy","rural","26.9","11,556","Kozy"
"Gmina Buczkowice","rural","19.3","10,580","Buczkowice"
"Gmina Bestwina","rural","37.6","10,412","Bestwina"
"Gmina Jaworze","rural","21.3","6,537","Jaworze"
"Szczyrk","urban","39.1","5,860",""
