"Name","Country","Took office","Term End","Division","Remark"
"Reine Alapini-Gansou","Benin","2018","2027","Pre-Trial",""
"Tomoko Akane","Japan Japan","2018","2027","Pre-Trial",""
"Solomy Balungi Bossa","Uganda Uganda","2018","2027","Appeals",""
"Chung Chang-ho","South Korea","2015","2024","Trial",""
"Luz del Carmen Ibáñez Carranza","Peru Peru","2018","2027","Appeals",""
"Chile Eboe-Osuji","Nigeria","2012","2021","Appeals","President"
"Robert Fremr","Czech Republic","2012","2021","Trial","First Vice President"
"Geoffrey A. Henderson","Trinidad and Tobago","2013","2021","Trial",""
"Olga Venecia Herrera Carbuccia","Dominican Republic","2012","2021","Trial",""
"Piotr Hofmański","Poland","2015","2024","Appeals",""
"Péter Kovács","Hungary","2015","2024","Pre-Trial",""
"Antoine Kesia-Mbe Mindua","Democratic Republic of the Congo","2015","2024","Pre-Trial",""
"Howard Morrison","United Kingdom","2012","2021","Appeals",""
"Raul Cano Pangalangan","Philippines","2015","2021","Trial",""
"Marc Perrin de Brichambaut","France","2015","2024","Pre-Trial","Second Vice President"
"Kimberly Prost","Canada","2018","2027","Trial",""
"Rosario Salvatore Aitala","Italy Italy","2018","2027","Pre-Trial",""
"Bertram Schmitt","Germany Germany","2015","2024","Trial",""
"Kuniko Ozaki","Japan Japan","2009","2018","Trial","ad litem"
"Cuno Tarfusser","Italy Italy","2009","2018","Trial","ad litem"
