"Rank","Athlete","Nationality","#1","#2","#3","Result","Note"
"1","Adelina Gavrila","Romania","14.24","","","14.24","Q"
"2","Olesya Bufalova","Russia","14.20","","","14.20","Q"
"3","Oksana Udmurtova","Russia","14.10","","","14.10","Q"
"4","Mariya Dimitrova","Bulgaria","13.72","14.08","X","14.08","q, SB"
"5","Carlota Castrejana","Spain","13.53","13.39","14.00","14.00","q"
"6","Natallia Safronava","Belarus","13.74","13.93","–","13.93","q"
"7","Dana Veldáková","Slovakia","13.80","13.86","13.90","13.90","q"
"8","Teresa Nzola Meso Ba","France","13.58","13.78","13.87","13.87","q"
"9","Patricia Sarrapio","Spain","13.44","13.70","13.80","13.80",""
"10","Irina Beskrovnaja","Slovakia","13.32","13.53","13.55","13.55",""
"11","Athanasia Perra","Greece","13.47","13.53","12.83","13.47",""
"12","Susana Costa","Portugal","13.32","13.43","13.17","13.43",""
"13","Cristina Bujin","Romania","X","13.31","X","13.31",""
