"From","To","Name","","Party"
"2000","2001","Frank McCoubrey","","Ulster Democratic"
"2001","2002","Hugh Smyth","","PUP"
"2002","2003","Post vacant","","Post vacant"
"2003","2004","Margaret Crooks","","UUP"
"2004","2005","Joe O'Donnell","","Sinn Féin"
"2005","2006","Pat Convery","","SDLP"
"2006","2007","Ruth Patterson","","DUP"
"2007","2008","Bernie Kelly","","SDLP"
"2008","2009","David Browne","","UUP"
"2009","2010","Danny Lavery","","Sinn Féin"
"2010","2011","William Humphrey","","DUP"
"2011","2012","Ruth Patterson","","DUP"
"2012","2013","Tierna Cunningham","","Sinn Féin"
"2013","2014","Christopher Stalford","","DUP"
"2014","2015","Maire Hendron","","Alliance"
"2015","2016","Guy Spence","","DUP"
"2016","2017","Mary Ellen Campbell","","Sinn Féin"
"2017","2018","Sonia Copeland","","UUP"
"2018","2019","Emmet McDonough-Brown","","Alliance"
