"Rank","Attendance","Date","Final score","Visiting team"
"1","3,117","March 28, 2015","W 19-7","Georgetown"
"2","2,748","May 10, 2014","W 9-5*","North Carolina"
"3","2,728","March 7, 2015","W 11-10","Notre Dame"
"4","2,715","April 3, 2015","W 15-4","Villanova"
"5","2,702","April 12, 2014","W 16-9","St. John's"
"6","2,676","April 18, 2015","W 13-9","Providence"
"7","2,631","February 28, 2016","W 16-6","Dartmouth"
"8","2,621","May 11, 2013","W 19-14*","Albany"
"9","2,575","May 15, 2011","W 13-10*","Villanova"
"10","2,545","March 12, 2011","L 9-10","Notre Dame"
