"Quarterback","Team","Passing yards","Regular Season","Notes"
"Dan Marino*","Miami Dolphins","5,084","1984","1st in NFL history, Tied for youngest to achieve 5,000 yards"
"Drew Brees","New Orleans Saints","5,069","2008","Offensive Player of the Year"
"Drew Brees","New Orleans Saints","5,476","2011","2nd 5,000-yard season, Offensive Player of the Year"
"Tom Brady","New England Patriots","5,235","2011",""
"Matthew Stafford","Detroit Lions","5,038","2011","Comeback Player of the Year"
"Drew Brees","New Orleans Saints","5,177","2012","3rd 5,000-yard season, 2nd consecutive"
"Peyton Manning*","Denver Broncos","5,477","2013","NFL record"
"Drew Brees","New Orleans Saints","5,162","2013","4th 5,000-yard season, 3rd consecutive"
"Drew Brees","New Orleans Saints","5,208","2016","5th 5,000-yard season"
"Ben Roethlisberger","Pittsburgh Steelers","5,129","2018",""
"Patrick Mahomes*","Kansas City Chiefs","5,097","2018","Tied for youngest to achieve 5,000 yards"
