"Round","Home","Scoreline","Away","Date","Venue","Crowd"
"1","North Queensland Cowboys","24 - 16","Adelaide Rams","1 March","Dairy Farmers Stadium","17,738"
"2","Brisbane Broncos","28 - 12","Adelaide Rams","9 March","ANZ Stadium","16,279"
"3","Adelaide Rams","10 - 8","Hunter Mariners","14 March","Adelaide Oval","27,435"
"4","Auckland Warriors","12 - 16","Adelaide Rams","21 March","Ericsson Stadium","13,000"
"5","Adelaide Rams","16 - 18","Perth Reds","27 March","Adelaide Oval","16,294"
"6","Canterbury Bulldogs","34 - 22","Adelaide Rams","6 April","Belmore Sports Ground","7,234"
"7","Adelaide Rams","10 - 20","Brisbane Broncos","13 April","Adelaide Oval","17,633"
"8","Cronulla Sharks","18 - 29","Adelaide Rams","19 April","Shark Park","10,112"
"9","Penrith Panthers","16 - 22","Adelaide Rams","27 April","Penrith Football Stadium","5,815"
"10","Adelaide Rams","14 - 14","North Queensland Cowboys","2 May","Adelaide Oval","15,970"
"11","Adelaide Rams","22 - 42","Canterbury Bulldogs","23 May","Adelaide Oval","15,022"
"12","Adelaide Rams","18 - 34","Canberra Raiders","1 June","Adelaide Oval","13,894"
"13","Perth Reds","4 - 28","Adelaide Rams","29 June","W.A.C.A","7,204"
"14","Hunter Mariners","10 - 2","Adelaide Rams","5 July","Topper Stadium","2,345"
"15","Adelaide Rams","8 - 18","Auckland Warriors","11 July","Adelaide Oval","13,278"
"16","Adelaide Rams","6 - 28","Cronulla Sharks","8 August","Adelaide Oval","7,231"
"17","Canberra Raiders","58 - 16","Adelaide Rams","17 August","Canberra Stadium","7,960"
"18","Adelaide Rams","36 - 16","Penrith Panthers","22 August","Adelaide Oval","11,211"
