"Year","Chassis","Engine","Start","Finish","Entrant"
"1981","Phoenix PR-01","Cosworth DFX","12","4","Jerry O'Connell Racing"
"1982","Penske PC-10","Cosworth DFX","2","30","Team Penske"
"1983","March 83C","Cosworth DFX","22","5","Bignotti-Cotter Racing"
"1984","Eagle 84SB","Pontiac V8","27","20","Curb-All American Racers"
"1985","March 85C","Cosworth DFX","32","11","Kraco Racing"
"1986","March 86C","Cosworth DFX","6","2","Patrick Racing"
"1987","March 87C","Ilmor-Chevrolet Indy V8 265A","24","31","Patrick Racing"
"1988","March 88C","Cosworth DFX","13","11","Machinist Union Racing"
"1989","March 88C","Cosworth DFX","27","32","Machinist Union Racing"
"1990","Penske PC-18","Buick V6","15","9","Vince Granatelli Racing"
"1991","Lola T91/00","Buick V6","16","29","Team Menard"
"1993","Lola T93/00","Ilmor-Chevrolet Indy V8 265A","14","14","Galles-Kraco Racing"
