"Pick","Player","Pos.","Nationality","Team","Previous team","NBA years","Career with the franchise","Ref."
"1","Sidney Green","F/C","United States","Orlando Magic","New York Knicks","6","1989–1990",""
"2","Rick Mahorn","F/C","United States","Minnesota Timberwolves","Detroit Pistons","9","—",""
"3","Reggie Theus+","G","United States","Orlando Magic","Atlanta Hawks","11","1989–1990",""
"4","Tyrone Corbin","G/F","United States","Minnesota Timberwolves","Phoenix Suns","4","1989–1991",""
"5","Terry Catledge","F","United States","Orlando Magic","Washington Bullets","4","1989–1993",""
"6","Steve Johnson+","F/C","United States","Minnesota Timberwolves","Portland Trail Blazers","8","1989–1990",""
"7","Sam Vincent","G","United States","Orlando Magic","Chicago Bulls","4","1989–1992",""
"8","Brad Lohaus","F/C","United States","Minnesota Timberwolves","Sacramento Kings","2","1989–1990",""
"9","Otis Smith","G/F","United States","Orlando Magic","Golden State Warriors","3","1989–1992",""
"10","David Rivers","G","United States","Minnesota Timberwolves","Los Angeles Lakers","1","—",""
"11","Scott Skiles","G","United States","Orlando Magic","Indiana Pacers","3","1989–1994",""
"12","Mark Davis","G/F","United States","Minnesota Timberwolves","Milwaukee Bucks","1","—",""
"13","Jerry Reynolds","G/F","United States","Orlando Magic","Seattle SuperSonics","4","1989–1992",""
"14","Scott Roth","F","United States","Minnesota Timberwolves","San Antonio Spurs","2","1989–1990",""
"15","Mark Acres","F/C","United States","Orlando Magic","Boston Celtics","2","1989–1992",""
"16","Shelton Jones","F","United States","Minnesota Timberwolves","Philadelphia 76ers","1","—",""
"17","Morlon Wiley","G","United States","Orlando Magic","Dallas Mavericks","1","1989–1991",""
"18","Eric White","F","United States","Minnesota Timberwolves","Los Angeles Clippers","2","—",""
"19","Jim Farmer","G","United States","Orlando Magic","Utah Jazz","2","—",""
"20","Maurice Martin","G/F","United States","Minnesota Timberwolves","Denver Nuggets","2","—",""
"21","Keith Lee","F/C","United States","Orlando Magic","New Jersey Nets","3","—",""
"22","Gunther Behnke#","C","West Germany","Minnesota Timberwolves","Cleveland Cavaliers","0","—",""
"23","Frank Johnson","G","United States","Orlando Magic","Houston Rockets","8","—",""
