"No.","Year","Tournament","Tier","Surface","Round","Winner","Score","Graf","Seles"
"1.","1989","France Roland Garros","Major","Clay","Semifinals","Graf","6–3, 3–6, 6–3","1","0"
"2.","1989","United Kingdom Wimbledon","Major","Grass","Round of 16","Graf","6–0, 6–1","2","0"
"3.","1989","United Kingdom Brighton International","Tier II","Carpet","Final","Graf","7–5, 6–4","3","0"
"4.","1990","Germany German Open","Tier I","Clay","Final","Seles","6–4, 6–3","3","1"
"5.","1990","France Roland Garros","Major","Clay","Final","Seles","7–6(8–6), 6–4","3","2"
"6.","1991","United States US Women's Hard Court Championships","Tier III","Hard","Final","Graf","6–4, 6–3","4","2"
"7.","1991","Germany WTA Hamburg","Tier II","Clay","Final","Graf","7–5, 6–7(4–7), 6–3","5","2"
"8.","1992","France Roland Garros","Major","Clay","Final","Seles","6–2, 3–6, 10–8","5","3"
"9.","1992","United Kingdom Wimbledon","Major","Grass","Final","Graf","6–2, 6–1","6","3"
"10.","1993","Australia Australian Open","Major","Hard","Final","Seles","4–6, 6–3, 6–2","6","4"
"11.","1995","United States US Open","Major","Hard","Final","Graf","7–6(8–6), 0–6, 6–3","7","4"
"12.","1996","United States US Open","Major","Hard","Final","Graf","7–5, 6–4","8","4"
"13.","1998","United States WTA Tour Championships","Tour Finals","Carpet","Quarterfinals","Graf","1–6, 6–4, 6–4","9","4"
"14.","1999","Australia Australian Open","Major","Hard","Quarterfinals","Seles","7–5, 6–1","9","5"
"15.","1999","France Roland Garros","Major","Clay","Semifinals","Graf","6–7(2–7), 6–3, 6–4","10","5"
