"District","Area (ha)","Romanian name","German name","Hungarian name","Institution"
"I","480","Cetate","Innere Stadt","Belváros","1718"
"II","1017","Fabric","Fabrikstadt","Gyárváros","1718"
"III","668","Elisabetin","Elisabethstadt","Erzsébetváros","1890"
"IV","442","Iosefin","Josefstadt","Józsefváros","1744"
"V","205","Mehala","Mehala","Mehala","1910"
"VI","231","Fratelia","Fratelia","Újkissoda","1948"
"VII","156","Freidorf","Freidorf","Szabadfalu","1950"
"VIII","67","Plopi","Kardos-Kolonie","Kardostelep","1951"
"IX","72","Ghiroda Nouă","Neu-Giroda","Erzsébetpuszta","1951"
"X","102","Ciarda Roșie","Rote Tscharda","Vörös Csárda","1953"
