"Rank","Date","Opponent","Attendance","Score","Winner"
"1","September 20, 2012","BYU","36,864","7–6","Boise State"
"2","September 4, 2015","Washington","36,836","16–13","Boise State"
"3","October 23, 2014","BYU","36,752","55–30","Boise State"
"4","October 6, 2018","San Diego State","36,679","13–19","SDSU"
"5","October 1, 2016","Utah State","36,602","21–10","Boise State"
"6","September 10, 2016","Washington State","36,163","31–28","Boise State"
"7","November 3, 2012","San Diego State","36,084","19–21","SDSU"
"8","September 13, 2013","Air Force","36,069","42–20","Boise State"
"9","October 20, 2012","UNLV","36,012","32–7","Boise State"
"10","November 24, 2018","Utah State","35,960","33–24","Boise State"
