"Name","Balls","Runs","Wickets","BB","Average"
"HL Jackson","5188","2000","114","7-41","17.54"
"C Gladwin","5299","1941","101","8-64","19.21"
"E Smith","3431","1475","54","7-58","27.31"
"DC Morgan","2556","1030","35","5-50","29.42"
"DB Carr","1243","681","21","3-28","32.42"
"HJ Rhodes","449","165","10","5-52","16.50"
"D Hall","680","323","8","3-61","40.37"
"JB Furniss","162","102","4","3-52","25.50"
"A Hamer","222","80","1","1-5","80.00"
"GA Beet","96","58","1","1-58","58.00"
"GL Willatt","6","5","0","",""
"HL Johnson","6","4","0","",""
"JM Kelly","18","9","0","",""
"C Lee","12","4","0","",""
"AC Revill","48","47","0","",""
"GO Dawkes","10","6","0","",""
