"Rank","Attendance","Opponent","Date","Venue","Location"
"1","29,480","Māori All Blacks","2017-11-03","BC Place","Vancouver"
"2","22,566","Māori All Blacks","2013-11-03","BMO Field","Toronto"
"3","20,396","Ireland","2013-06-15","BMO Field","Toronto"
"4","18,788","Scotland","2014-06-14","BMO Field","Toronto"
"5","16,132","Uruguay","2018-01-27","BC Place","Vancouver"
"6","15,000","United States","2005-06-26","Commonwealth Stadium","Edmonton"
"7","13,187","United States","2017-06-24","Tim Hortons Field","Hamilton"
"8","13,125","Italy","2016-06-26","BMO Field","Toronto"
"9","12,824","Scotland","2018-06-09","Commonwealth Stadium","Edmonton"
"10","12,220","Italy","2012-06-15","BMO Field","Toronto"
"11","11,200","Samoa","2015-07-25","BMO Field","Toronto"
"12","10,621","United States","2011-08-06","BMO Field","Toronto"
"13","10,250","Japan","2016-07-11","BC Place","Vancouver"
"14","10,207","United States","2013-08-24","BMO Field","Toronto"
"15","10,000","New Zealand XV","1980-10-01","Swangard Stadium","Burnaby"
