"Venue","Location","First","Last","Next","Times","Lowest 72- hole score","Player (year)","Ref"
"Prestwick Golf Club","Prestwick, Scotland","1860","1925","","24","291","James Braid (1908)",""
"Old Course at St Andrews","St Andrews, Scotland","1873","2015","2021","29","269 (−19)","Tiger Woods (2000)",""
"Musselburgh Links","Musselburgh, Scotland","1874","1889","","6","155","Willie Park, Jnr (1889)",""
"Muirfield","Gullane, Scotland","1892","2013","N/A","16","271 (−13)","Tom Watson (1980)",""
"Royal St George's Golf Club","Sandwich, England","1894","2011","2020","14","267 (−13)","Greg Norman (1993)",""
"Royal Liverpool Golf Club","Hoylake, England","1897","2014","N/A","12","270 (−18)","Tiger Woods (2006)",""
"Royal Cinque Ports Golf Club","Deal, England","1909","1920","","2","291","John Henry Taylor (1909)",""
"Royal Troon Golf Club","Troon, Scotland","1923","2016","N/A","9","264 (−20)","Henrik Stenson (2016)",""
"Royal Lytham & St Annes Golf Club","Lytham St Annes, England","1926","2012","N/A","11","271 (−13)","Tom Lehman (1996)",""
"Carnoustie Golf Links","Carnoustie, Scotland","1931","2018","N/A","8","276 (−8)","Francesco Molinari (2018)",""
"Prince's Golf Club","Sandwich, England","1932","1932","","1","283 (−13)","Gene Sarazen (1932)",""
"Royal Portrush Golf Club","Portrush, County Antrim, Northern Ireland","1951","1951","2019","1","285 (−3)","Max Faulkner (1951)",""
"Royal Birkdale Golf Club","Southport, England","1954","2017","N/A","10","268 (−12)","Jordan Spieth (2017)",""
"Turnberry","South Ayrshire, Scotland","1977","2009","N/A","4","268 (−12)","Tom Watson (1977) Nick Price (1994)",""
