"","Name","From","Fee","Year"
"1","Colombia Davinson Sánchez","Netherlands Ajax","£42M","2017"
"2","Argentina Erik Lamela","Italy Roma","£30M","2013"
"3","France Moussa Sissoko","England Newcastle United","£30M","2016"
"4","Spain Roberto Soldado","Spain Valencia","£26M","2013"
"5","Brazil Lucas Moura","France Paris Saint-Germain","£23M","2018"
"6","South Korea Son Heung-min","Germany Bayer Leverkusen","£22M","2015"
"7","Netherlands Vincent Janssen","Netherlands AZ","£17M","2016"
"8","Brazil Paulinho","Brazil Corinthians","£17M","2013"
"9","Croatia Luka Modrić","Croatia Dinamo Zagreb","£16.5M","2008"
"10","England Darren Bent","England Charlton Athletic","£16.5M","2007"
"11","Belgium Mousa Dembélé","England Fulham","£15M","2012"
