"Rank","Name","Image","Height in feet","Height in Meters","Floors","Year","Ref"
"1","First Tennessee Plaza","-","327","100","27","1979",""
"2","Riverview Tower","-","312","95","24","1985",""
"3","Tower at Morgan Hill (Kingston Apartments)","-","","","22","1967",""
"4","Sunsphere","102 0459.JPG","265","81","5","1982",""
"5","Andrew Johnson Building","-","203","62","18","1928",""
"6","The Holston","-","193","59","15","1912",""
"7","Burwell Building","-","167","51","10","1907",""
"8","Sterchi Lofts","-","147","45","12","1926",""
"9","US Bank Building","","146.87","","12","1965",""
"10","Church Street United Methodist Church","-","141","43","2","1931",""
"11","Baptist Hospital of East Tennessee (A Wing)","","124","38","10","1948",""
