"Edition","Year","Host city","Host country","Date","No. of athletes","Nations","Events"
"1","2001","Nice","France","9–10 March","80 men/71 women","21","8"
"2","2002","Pula","Croatia","9–10 March","99 men/76 women","26","8"
"3","2003","Gioia Tauro","Italy","13–14 March","71 men/66 women","25","8"
"4","2004","Marsa","Malta","13–14 March","71 men/76 women","27","8"
"5","2005","Mersin","Turkey","12–13 March","89 men/85 women","30","8"
"6","2006","Tel-Aviv","Israel","18–19 March","86 men/82 women","28","8"
"7","2007","Yalta","Ukraine","17–18 March","96 men/ 98 women","28","16"
"8","2008","Split","Croatia","15–16 March","121 men/ 108 women","34","16"
"9","2009","Tenerife","Spain","14–15 March","119 men/ 107 women","29","16"
"10","2010","Arles","France","20–21 March","166 men/ 114 women","30","16"
"11","2011","Sofia","Bulgaria","19–20 March","125 men/123 women","33","16"
"12","2012","Bar","Montenegro","17–18 March","142 men/140 women","33","16"
"13","2013","Castellon","Spain","16–17 March","249","38","16"
"14","2014","Leiria","Portugal","15–16 March","280","","16"
"15","2015","Leiria","Portugal","14–15 March","248","","16"
"16","2016","Arad","Romania","12–13 March","282","","16"
"17","2017","Las Palmas","Spain","11–12 March","249","","16"
"18","2018","Leiria","Portugal","10–11 March","","","16"
"19","2019","Šamorín","Slovakia","9–10 March","","","16"
