"No.","Year","Film","Role","Co-stars","Director"
"1","2010","Kadha Thudarunnu","Harichandran","Jayaram, Mamtha Mohandas","Sathyan Anthikad"
"2","2010","Tournament – Play & Replay","Usman Ali","Fahadh Faasil, Roopa Manjari, Manu","Lal"
"3","2011","Snehaveedu","Balan","Mohanlal, Padmapriya, Biju Menon","Sathyan Anthikad"
"4","2011","Ideal Couples","","Vineeth, Thilakan, Usha Uthup, Nasser, Lakshmimenon, Kalabhavan Shajon,","Aliakbar"
"5","2011","Mullasery Madhavan Kutty","Tintu Mon","Anoop Menon,","Kumar Nanda"
"6","2013","Sim","Unnipilla","Deepak Parambol, Ann Augustin","Diphan"
"7","2012","Idiots","Mani","Asif Ali, Baburaj","Bawa"
"8","2013","Rebecca Uthup Kizhakkemala","Unni","Sidharth Bharathan, Ann Augustin","Sunder Das"
"9","2013","Crocodile Love Story","Kiran","Manikuttan, Avanthika Mohan, Asokan, Prem Kumar,","Anoop Ramesh"
"10","2014","7th Day","Cyril Samual aka Cycle","Prithviraj, Anumohan, Tovino Thomas, Vinay Fort, Janani Iyer, Joy Thomas","Syamdhar"
"11","2015","Dummy Tappasu","Sree","Ramya Pandian, Niranjan Venki, Mime Gopi, John Vijay","O. S. Ravi"
