"No.","Ruler","Rule began","Rule ended","Notes","Ref(s)"
"23","Zombré","1681","1744","",""
"24","Saga I","1744","1762","",""
"25","Kom I","1762","1783","",""
"26","Doulougou","1783","1802","",""
"27","Sawadogo","1802","1834","",""
"28","Karfo","1834","1842","",""
"29","Baongo I","1842","1850","",""
"30","Koutou","1850","1871","",""
"31","Sanem","1871","1889","",""
"32","Wobgho","1889","1897","Also known as Boukari Koutou",""
"33","Siguiri","1897","1905","",""
"34","Kom II","1905","1942","",""
"35","Saga II","1942","1957","",""
"36","Kougri","1957","December 1982","",""
"37","Baongo II","1983","present","",""
