"No.","Date","Teams","Sport","Competition","Crowd"
"1","7 February 2003","Indigenous All-Stars vs. Carlton","Australian rules football","n/a","17,500"
"2","12 February 1994","Indigenous All-Stars vs. Collingwood","Australian rules football","n/a","15,000"
"3","12 August 2006","Western Bulldogs vs. Port Adelaide","Australian rules football","AFL","14,100"
"4","17 November 2017","Australia vs. Samoa","Rugby league","2017 RLWC","13,473"
"5","14 August 2004","Western Bulldogs vs. Port Adelaide","Australian rules football","AFL","13,271"
"6","11 February 2007","Indigenous All-Stars vs. Essendon","Australian rules football","n/a","13,119"
"7","18 June 2005","Western Bulldogs vs. Carlton","Australian rules football","AFL","13,037"
"8","15 July 2017","Melbourne vs. Adelaide","Australian rules football","AFL","12,104"
"9","10 June 2017","Parramatta Eels vs. North Queensland Cowboys","Rugby league","NRL","11,968"
"10","4 July 2015","Melbourne vs. West Coast","Australian rules football","AFL","11,873"
