"Pos","No.","Driver","Manufacturer","Laps","Laps led","Money","Time/Status"
"1","29","Nelson Stacy","'62 Ford","400","13","$25,505","4:46:44"
"2","8","Joe Weatherly","'62 Pontiac","400","0","$11,105","+32.35 seconds"
"3","0","Fred Lorenzen","'62 Ford","399","0","$6,870","+1 lap"
"4","43","Richard Petty","'62 Plymouth","397","5","$5,400","+3 laps"
"5","66","Larry Frank","'62 Ford","395","0","$3,475","+5 laps"
"6","11","Ned Jarrett","'62 Chevrolet","394","0","$3,600","+6 laps"
"7","3","David Pearson","'62 Pontiac","393","208","$4,695","Engine failure"
"8","21","Marvin Panch","'62 Ford","393","0","$1,600","+7 laps"
"9","22","Fireball Roberts","'62 Pontiac","393","27","$2,095","+7 laps"
"10","41","Bunkie Blackburn","'62 Plymouth","393","0","$1,100","+7 laps"
