"Accumulated","Valid","Rank","Movement","Coefficient","Change"
"2005–06 to 2009–10","2011–12","27","","12.332",""
"2006–07 to 2010–11","2012–13","22","+5","16.124","+3.792"
"2007–08 to 2011–12","2013–14","21","+1","18.874","+2.750"
"2008–09 to 2012–13","2014–15","22","–1","19.583","+0.709"
"2009–10 to 2013–14","2015–16","20","+2","19.625","+0.042"
"2010–11 to 2014–15","2016–17","17","+3","23.500","+3.875"
"2011–12 to 2015–16","2017–18","17","","23.875","+0.375"
"2012–13 to 2016–17","2018–19","16","+1","25.250","+1.375"
"2013–14 to 2017–18","2019–20","16","","26.000","+0.750"
"2014–15 to 2018–19","2020–21","15","+1","27.375","+1.375"
