"Coach","Years Active","No. of Seasons","Wins","Losses","Win Percentage","NCAAT App.","NCAAT Wins","NCAAT Losses"
"Chapman","1905-06","1","2","1",".667","","",""
"John Heisman","1908-09, 1912-14","3","9","14",".391","","",""
"William Alexander","1919-20, 1921-24","4","36","38",".486","","",""
"Joe Bean","1920-21","1","4","10",".286","","",""
"Harold Hansen","1924-26","2","10","23",".303","","",""
"Roy Mundorff","1926-43","17","162","134",".547","0","0","0"
"Dwight Keith","1943-46","3","35","21",".625","0","0","0"
"Roy McArthur","1946-51","6","57","72",".442","0","0","0"
"Whack Hyder","1951-73","22","292","271",".519","1","0","1"
"Dwane Morrison","1973-81","8","91","122",".427","0","0","0"
"Bobby Cremins","1981-00","19","354","237",".599","10","15","10"
"Paul Hewitt","2000-11","11","190","162",".540","5","7","5"
"Brian Gregory","2011-16","5","76","86",".469","0","0","0"
"Josh Pastner","2016–present","3","48","53",".475","0","0","0"
