"Year","1st","2nd","3rd","Venue","Number of teams"
"1985","Malaysia","Sri Lanka","Singapore","Kuala Lumpur, Malaysia","5"
"1989","Sri Lanka","Singapore","Malaysia","New Delhi, India","4"
"1993","Hong Kong","Singapore","Sri Lanka","Hong Kong","5"
"1997","Sri Lanka","Malaysia","Singapore","Singapore","5"
"2001","Sri Lanka","Singapore","Malaysia","Colombo, Sri Lanka","8"
"2005","Singapore","Malaysia","Sri Lanka","Toa Payoh Sports Hall, Singapore","7"
"2009","Sri Lanka","Singapore","Malaysia","Juara Stadium, Bukit Kiara, Kuala Lumpur, Malaysia","9"
"2012","Singapore","Sri Lanka","Malaysia","Sugathadasa Indoor Stadium, Colombo, Sri Lanka","10"
"2014","Singapore","Sri Lanka","Malaysia","Singapore Sports Hub OCBC Arena, Singapore","10"
"2016","Malaysia","Sri Lanka","Singapore","Thailand","9"
"2018","Sri Lanka","Singapore","Malaysia","Singapore","12"
