"Week","Day","Date","Opponent","Result","Attendance"
"1","Sunday","August 2, 1975","Hawaiians","W 21–15","3,266"
"2","Sunday","August 9, 1975","at Birmingham Vulcans","L 17–23","21,000"
"3","Sunday","August 16, 1975","at Shreveport Steamer","L 3–10","12,016"
"4","Sunday","August 23, 1975","Memphis Grizzlies","W 22–18","5,051"
"5","Saturday","August 29, 1975","at Southern California Sun","L 39–58","17,811"
"6","Saturday","September 6, 1975","at Charlotte Hornets","L 0–10","10,564"
"7","Saturday","September 13, 1975","Portland Thunder","L 10–25","4,710"
"8","Saturday","September 20, 1975","at Jacksonville Express","L 10–16","10,296"
"9","Saturday","October 4, 1975","San Antonio Wings","W 42–38","2,357"
"10","Saturday","October 11, 1975","at Hawaiians","L 13–14","10,789"
"11","Saturday","October 18, 1975","Charlotte Hornets","W 18–10","1,293"
