"#","Nat","Player","Position","Hand","Age","Acquired","Place of birth","Finals appearance"
"29","Russia","Dmitry Afanasenkov","LW","R","24","1998","Arkhangelsk, U.S.S.R.","first"
"25","Canada","Dave Andreychuk – C","LW","R","40","2001","Hamilton, Ontario","first"
"22","Canada","Dan Boyle","D","R","27","2002","Ottawa, Ontario","first"
"8","Slovakia","Martin Cibak","C","L","24","1998","Liptovský Mikuláš, Czechoslovakia","first"
"7","United States","Ben Clymer","RW","R","26","1999","Bloomington, Minnesota","first"
"5","Canada","Jassen Cullimore","D","L","31","1998","Simcoe, Ontario","first"
"11","Canada","Chris Dingman","LW","L","27","2002","Edmonton, Alberta","second (2001)"
"17","Ukraine","Ruslan Fedotenko","LW","L","25","2003","Kiev, U.S.S.R.","first"
"47","United States","John Grahame","G","L","28","2003","Denver, Colorado","first"
"35","Russia","Nikolai Khabibulin","G","L","31","2001","Sverdlovsk, U.S.S.R.","first"
"13","Czech Republic","Pavel Kubina","D","R","27","1996","Čeladná, Czechoslovakia","first"
"4","Canada","Vincent Lecavalier – A","C","L","24","1998","Île Bizard, Quebec","first"
"37","Canada","Brad Lukowich","D","L","27","2002","Cranbrook, British Columbia","third (1999, 2000)"
"33","Sweden","Fredrik Modin – A","LW","L","29","1999","Sundsvall, Sweden","first"
"44","Canada","Nolan Pratt","D","L","28","2001","Fort McMurray, Alberta","second (2001)"
"19","Canada","Brad Richards","C","L","24","1998","Murray Harbour, Prince Edward Island","first"
"36","United States","Andre Roy","RW","L","29","2002","Port Chester, New York","first"
"21","Canada","Cory Sarich","D","R","25","2000","Saskatoon, Saskatchewan","first"
"26","Canada","Martin St. Louis","RW","L","28","2000","Laval, Quebec","first"
"61","Canada","Cory Stillman","LW","L","30","2003","Peterborough, Ontario","first"
"55","Canada","Darryl Sydor","D","L","32","2004","Edmonton, Alberta","fourth (1993, 1999, 2000)"
"27","Canada","Tim Taylor","C","L","35","2001","Stratford, Ontario","second (1997)"
