"Model","25","28","32","35","1200"
"Length sailing (m)","7.65","8.75","9.80","10.68","11.96"
"Length folded (m)","9","10","12","12.60","13.65"
"Beam sailing (m)","5.80","6.50","8.00","8.20","8.60"
"Beam folded (m)","2.30","2.54","3.60","3.85","4.30"
"Draft, board up (m)","0.35","0.40","0.50","0.55","0.75"
"Draft, board down (m)","1.50","1.70","1.90","1.90","2.00"
"Weight, ready to sail (kg)","1050","1950","3400","3900","5700"
"Mainsail (m2)","24","37","48","56","60"
"Furling genoa (m2)","10","19","26","35","35"
"Code 0 furling (m2)","17","37","57","55","NA"
"Asymmetric spinnaker (m2)","45","65","95","95","130"
"Bowsprit length (m)","NA","1.60","1.80","1.50","1 or 2"
"Water tank (L)","NA","90","120","140","180"
"Holding tank (L)","NA","60","60","60","80"
"Payload incl crew (kg)","NA","725","1200","1500","1530"
