"Edition","Year","City","Country","Date","Venue","Nations","Athletes","Events"
"I","1983","Barcelona","Spain","23–25 September","Estadi Municipal Joan Serrahima","18","143","37"
"II","1986","Havana","Cuba","27–28 September","Estadio Pedro Marrero","19","220","36"
"III","1988","Mexico City","Mexico","22–24 July","Estadio Olímpico Universitario","19","371",""
"IV","1990","Manaus","Brazil","14–16 September","Vila Olímpica","14","205",""
"V","1992","Seville","Spain","17–19 July","Estadio Olímpico de Sevilla","22","462",""
"VI","1994","Mar del Plata","Argentina","27–30 October","Estadio Municipal Teodoro Bronzini","20","346",""
"VII","1996","Medellín","Colombia","29–30 May","Estadio Alfonso Galvis Duque","19","352",""
"VIII","1998","Lisbon","Portugal","17–19 July","Estádio Universitário de Lisboa","22","337",""
"IX","2000","Rio de Janeiro","Brazil","20–21 May","Estádio Célio de Barros","20","297","44"
"X","2002","Guatemala City","Guatemala","11–12 May","Estadio Cementos Progreso","21","312","44"
"XI","2004","Huelva","Spain","7–8 August","Estadio Iberoamericano","27","443","44"
"XII","2006","Ponce","Puerto Rico","26–28 May","Francisco Montaner Stadium","23","313","44"
"XIII","2008","Iquique","Chile","13–15 June","Estadio Tierra de Campeones","19","316","44"
"XIV","2010","San Fernando","Spain","4–6 June","Estadio Municipal Bahía Sur","29","449","44"
"XV","2012","Barquisimeto","Venezuela","8–10 June","Polideportivo Máximo Viloria","24","362","44"
"XVI","2014","São Paulo","Brazil","1–3 August","Estádio Ícaro de Castro Melo","24","353","44"
"XVII","2016","Rio de Janeiro","Brazil","14–16 May","Estádio Olímpico João Havelange","28","355","44"
"XVIII","2018","Trujillo","Peru","24–26 August","Estadio Chan Chan","18","354","44"
